dataset,comparison,n,mean_difference,ci95_low,ci95_high,cohen_dz,signflip_p,wins,ties,losses
breast_cancer,MicroRing-MLP,10,0.02192982456140351,0.013964918295927777,0.029894730826879247,1.9695964928958394,0.001953125,10,0,0
breast_cancer,MicroNoEdges-MLP,10,0.02280701754385963,0.01544142805020552,0.03017260703751374,2.215051153563549,0.00390625,9,1,0
breast_cancer,MicroRing-MicroNoEdges,10,-0.0008771929824561209,-0.007782928114310099,0.006028542149397858,-0.09086737992230581,1.0,3,2,5
digits,MicroRing-MLP,10,-0.0011111111111111183,-0.00895953719652076,0.006737314974298523,-0.10127393670836757,0.8203125,3,2,5
digits,MicroNoEdges-MLP,10,-0.005277777777777793,-0.012560808954886031,0.0020052533993304466,-0.5183960757134819,0.16015625,3,1,6
digits,MicroRing-MicroNoEdges,10,0.004166666666666674,0.0010247817183358177,0.007308551614997531,0.9486832980505104,0.029296875,8,0,2
synthetic_ring,MicroRing-MLP,10,-0.012083333333333335,-0.01940196975147168,-0.00476469691519499,-1.1810801156514201,0.0078125,1,0,9
synthetic_ring,MicroNoEdges-MLP,10,-0.012166666666666659,-0.0181951571320072,-0.006138176201326117,-1.443729416622944,0.00390625,0,1,9
synthetic_ring,MicroRing-MicroNoEdges,10,8.333333333332416e-05,-0.008400686904959341,0.00856735357162599,0.007026512646502766,1.0,4,0,6
wine,MicroRing-MLP,10,-0.06666666666666668,-0.09507906731812565,-0.038254266015207705,-1.6785086548325656,0.00390625,0,1,9
wine,MicroNoEdges-MLP,10,-0.0638888888888889,-0.08876076667195279,-0.03901701110582501,-1.8375515624550118,0.00390625,0,1,9
wine,MicroRing-MicroNoEdges,10,-0.002777777777777779,-0.014057489945655685,0.008501934390100125,-0.17616606585441105,1.0,1,7,2
