dataset,model,topology,n,accuracy_mean,accuracy_sd,nll_mean,er_mean,ern_mean,latency_mean,diversity_mean,train_seconds_mean
breast_cancer,MLP,none,10,0.9578947368421054,0.006919391559180869,0.08859649204423768,1.7927463218496336,0.02109113319823098,0.51954765625,,0.0600140136999471
breast_cancer,Micro,none,10,0.9807017543859649,0.0069193915591808115,0.1014345404005825,1.094594579869536,0.037744640685156414,7.812904296875,0.07889425742215124,0.2771260189001623
breast_cancer,Micro,ring,10,0.9798245614035087,0.005920601383425857,0.10159269166541134,1.0985123722138666,0.037879736972891945,7.845623046875,0.07658152359312978,0.26643650569976673
digits,MLP,none,10,0.9658333333333333,0.006007825258336422,0.09448498693268179,6.096381676742924,0.1088639585132665,0.405206640625,,0.46749308180005755
digits,Micro,none,10,0.9605555555555556,0.007724686523931215,0.17198583041361407,5.4724774400775695,0.3420298400048481,5.10768671875,0.16753271128982306,1.316266872399865
digits,Micro,ring,10,0.9647222222222223,0.007752383588494273,0.1539105657094811,5.842707295011705,0.36516920593823154,5.5604458984375,0.11641844645142556,1.3714589322000392
synthetic_ring,MLP,none,10,0.8571666666666667,0.005502524673073074,0.36834893002696323,10.215178902584757,0.09728741811985482,0.5932845703125,,0.7770931499999278
synthetic_ring,Micro,none,10,0.845,0.004779069592801449,0.4048816500745681,2.5438809681025085,0.06522771713083356,10.1994203125,0.35853003465976474,3.028215038199869
synthetic_ring,Micro,ring,10,0.8450833333333334,0.009157824017786137,0.4037544784268242,2.9948436658586006,0.07679086322714361,10.189513281249999,0.2949657804155961,2.6914347242997794
wine,MLP,none,10,0.9694444444444444,0.024322084326969817,0.07964569786683914,3.0111746610203918,0.08603356174343976,0.52381796875,,0.06486079260012048
wine,Micro,none,10,0.9055555555555556,0.035136418446315314,0.43293952685043696,1.9012474733317493,0.054321356380907126,9.863558398437501,0.20085601494141989,0.21777259630007392
wine,Micro,ring,10,0.9027777777777777,0.04192307934322877,0.40506763401393275,1.9476337706650824,0.05564667916185949,9.2410734375,0.1832824221934591,0.21582230829999388
