dataset,condition,n,acc,sd,nll,rank,lat,params
digits,Composite,10,0.9772222222222222,0.003153590067764147,0.0682440287143202,0.060136304899022795,1.88213515625,29895.0
digits,LegacyK1,10,0.9833333333333334,0.003703703703703736,0.05253151087372544,0.07123861851349009,5.702230859375,29845.0
digits,MLP,10,0.9666666666666666,0.0048995394649344135,0.08780398427532557,0.04666787178444946,1.105862890625,29895.0
digits,ScalarMicroT1,10,0.9827777777777778,0.0031535900677642096,0.0572238293186871,0.06911110804976729,2.7667828125,30013.0
digits,ScalarMicroT3,10,0.9830555555555556,0.003806445331684184,0.05598340022401593,0.07014098596908978,4.72059921875,30013.0
synthetic_ring,Composite,10,0.8616666666666667,0.006655082528172733,0.34289397914569886,0.07648339053820856,1.90302109375,29949.0
synthetic_ring,MLP,10,0.8589166666666668,0.0033344905398717062,0.3656975908371476,0.07350817040184829,1.0053042968750001,29949.0
synthetic_ring,ScalarMicroT1,10,0.8721666666666668,0.0070623327031425305,0.3246146340507333,0.11183230730427744,3.167780078125,29865.0
synthetic_ring,ScalarMicroT3,10,0.8658333333333333,0.007092858519335383,0.32985153678170864,0.1191687353828644,5.101660546875,29865.0
synthetic_ring,k1_none,10,0.8688333333333332,0.0052440442408507575,0.33361587008105376,0.11629160134076486,6.239977343750001,30147.0
