dataset,topology,steps,n,accuracy_mean,accuracy_sd,normalized_effective_rank_mean
breast_cancer,none,0,3,0.9736842105263158,0.015193428136569065,0.040126381683471254
breast_cancer,none,1,3,0.9766081871345028,0.005064476045522985,0.03797374980289584
breast_cancer,none,2,3,0.9766081871345028,0.005064476045522985,0.03784530061143857
breast_cancer,none,3,3,0.97953216374269,0.005064476045523001,0.037821641872842794
breast_cancer,none,5,3,0.97953216374269,0.005064476045522985,0.03781690261603302
breast_cancer,none,8,3,0.97953216374269,0.005064476045523001,0.03781668242679561
breast_cancer,ring,0,3,0.9736842105263158,0.015193428136569083,0.040126381683471254
breast_cancer,ring,1,3,0.9824561403508771,0.0,0.03818884157075803
breast_cancer,ring,2,3,0.9824561403508771,0.0,0.037953214983985066
breast_cancer,ring,3,3,0.9824561403508771,0.0,0.03791108892202871
breast_cancer,ring,5,3,0.9824561403508771,0.0,0.0379001157111658
breast_cancer,ring,8,3,0.9824561403508771,0.0,0.037899388722203914
digits,none,0,3,0.9398148148148149,0.015298807075794717,0.3116164900652584
digits,none,1,3,0.9592592592592593,0.011226255234242716,0.3313427828350333
digits,none,2,3,0.962037037037037,0.011226255234242772,0.3391328549818419
digits,none,3,3,0.9638888888888889,0.01210805262094638,0.3412010920541156
digits,none,5,3,0.9638888888888889,0.012108052620946387,0.34204516198937696
digits,none,8,3,0.9638888888888889,0.012108052620946387,0.3421855705158965
digits,ring,0,3,0.9398148148148149,0.015298807075794717,0.3116164900652584
digits,ring,1,3,0.9629629629629629,0.008929306260178679,0.3501812431097195
digits,ring,2,3,0.9638888888888889,0.007349309197401615,0.3645256671112714
digits,ring,3,3,0.9666666666666667,0.007349309197401615,0.3701339244045598
digits,ring,5,3,0.9648148148148148,0.012830005981991733,0.373042500803563
digits,ring,8,3,0.9638888888888889,0.010015420209622258,0.37395190650282223
