dataset,topology,n,accuracy_mean,accuracy_sd,normalized_effective_rank_mean,latency_us_mean
breast_cancer,chain,3,0.9824561403508771,0.0,0.03790304285896425,7.8861757812499995
breast_cancer,complete,3,0.9824561403508771,0.0,0.03790269816864697,7.892108072916667
breast_cancer,none,3,0.97953216374269,0.005064476045523001,0.037821641872842794,7.8020143229166665
breast_cancer,random,3,0.9824561403508771,0.0,0.037873106389128934,7.8421640625
breast_cancer,ring,3,0.9824561403508771,0.0,0.03791108892202871,7.77573828125
breast_cancer,star,3,0.9824561403508771,0.0,0.03791321601264968,7.925544270833332
digits,chain,3,0.9657407407407407,0.0032075014954979176,0.37222346069461926,5.420983072916667
digits,complete,3,0.9638888888888889,0.012108052620946387,0.370503384164324,4.993669270833333
digits,none,3,0.9638888888888889,0.01210805262094638,0.3412010920541156,4.76006640625
digits,random,3,0.9583333333333334,0.012729376930432919,0.3666437880094149,4.787360677083334
digits,ring,3,0.9666666666666667,0.007349309197401615,0.3701339244045598,4.843067708333334
digits,star,3,0.9546296296296296,0.011564811108145239,0.3593689159975912,6.020674479166666
